YYYY,DOY,HR,MN,SYMH
2018,213,12,31,4
2018,213,12,32,4
2018,213,12,33,4
2018,213,12,34,4
2018,213,12,35,4
2018,213,12,36,4
2018,213,12,37,4
2018,213,12,38,4
2018,213,12,39,4
2018,213,12,40,4
2018,213,12,41,5
2018,213,12,42,5
2018,213,12,43,5
2018,213,12,44,5
2018,213,12,45,4
2018,213,12,46,4
2018,213,12,47,4
2018,213,12,48,4
2018,213,12,49,4
2018,213,12,50,4
2018,213,12,51,4
2018,213,12,52,4
2018,213,12,53,4
2018,213,12,54,4
2018,213,12,55,4
2018,213,12,56,4
2018,213,12,57,3
2018,213,12,58,3
2018,213,12,59,3
2018,213,13,0,3
2018,213,13,1,3
2018,213,13,2,2
2018,213,13,3,2
2018,213,13,4,3
2018,213,13,5,3
2018,213,13,6,3
2018,213,13,7,3
2018,213,13,8,3
2018,213,13,9,2
2018,213,13,10,3
2018,213,13,11,2
2018,213,13,12,2
2018,213,13,13,2
2018,213,13,14,2
2018,213,13,15,2
2018,213,13,16,2
2018,213,13,17,2
2018,213,13,18,2
2018,213,13,19,2
2018,213,13,20,2
2018,213,13,21,2
2018,213,13,22,2
2018,213,13,23,2
2018,213,13,24,2
2018,213,13,25,2
2018,213,13,26,2
2018,213,13,27,1
2018,213,13,28,1
2018,213,13,29,1
2018,213,13,30,1
2018,213,13,31,1
2018,213,13,32,1
2018,213,13,33,1
2018,213,13,34,1
2018,213,13,35,1
2018,213,13,36,1
2018,213,13,37,1
2018,213,13,38,1
2018,213,13,39,1
2018,213,13,40,1
2018,213,13,41,1
2018,213,13,42,2
2018,213,13,43,1
2018,213,13,44,1
2018,213,13,45,1
2018,213,13,46,1
2018,213,13,47,1
2018,213,13,48,1
2018,213,13,49,1
2018,213,13,50,2
2018,213,13,51,2
2018,213,13,52,2
2018,213,13,53,2
2018,213,13,54,2
2018,213,13,55,2
2018,213,13,56,2
2018,213,13,57,2
2018,213,13,58,2
2018,213,13,59,2
2018,213,14,0,3
2018,213,14,1,3
2018,213,14,2,3
2018,213,14,3,3
2018,213,14,4,3
2018,213,14,5,3
2018,213,14,6,3
2018,213,14,7,4
2018,213,14,8,3
2018,213,14,9,3
2018,213,14,10,3
2018,213,14,11,3
2018,213,14,12,3
2018,213,14,13,3
2018,213,14,14,3
2018,213,14,15,2
2018,213,14,16,3
2018,213,14,17,3
2018,213,14,18,3
2018,213,14,19,3
2018,213,14,20,3
2018,213,14,21,4
2018,213,14,22,4
2018,213,14,23,5
2018,213,14,24,5
2018,213,14,25,6
2018,213,14,26,6
2018,213,14,27,7
2018,213,14,28,7
2018,213,14,29,7
2018,213,14,30,7
2018,213,14,31,8
2018,213,14,32,8
2018,213,14,33,8
2018,213,14,34,8
2018,213,14,35,8
2018,213,14,36,9
2018,213,14,37,10
2018,213,14,38,9
2018,213,14,39,10
2018,213,14,40,10
2018,213,14,41,10
2018,213,14,42,10
2018,213,14,43,10
2018,213,14,44,9
2018,213,14,45,9
2018,213,14,46,8
2018,213,14,47,9
2018,213,14,48,8
2018,213,14,49,8
